YEAR,MONTH,TIME,Urea_Price,MP_Price,TSP_PRICE,Maize_Price,Rice_Price,Wheat_Price,Food_Price_Index,Energy_Price_Index,VIX_Index
1992,Jan,Jan-92,122.5,110.0,120.0,109.3,277.3,170.0,55.7,23.7,17.7
1992,Feb,Feb-92,120.6,110.0,120.0,113.6,278.3,177.1,55.5,23.8,17.5
1992,Mar,Mar-92,120.0,110.0,120.0,117.0,277.2,169.4,55.6,23.8,17.5
1992,Apr,Apr-92,120.0,110.0,120.2,108.5,278.0,159.9,54.1,25.2,16.6
1992,May,May-92,120.0,110.0,120.5,109.6,274.0,149.7,54.2,26.3,15.1
1992,Jun,Jun-92,120.0,110.0,120.5,110.9,268.8,148.7,54.8,27.7,15.2
1992,Jul,Jul-92,120.0,110.0,120.5,102.8,278.5,136.3,53.7,27.3,13.6
1992,Aug,Aug-92,120.0,113.6,120.8,97.0,270.8,128.2,53.8,27.0,14.4
1992,Sep,Sep-92,120.0,114.5,121.5,98.1,257.0,138.7,53.3,28.1,13.7
1992,Oct,Oct-92,116.9,114.5,121.5,95.1,250.0,140.6,51.7,28.0,17.6
1992,Nov,Nov-92,107.5,114.5,121.5,94.5,252.6,147.6,52.1,26.4,14.4
1992,Dec,Dec-92,103.8,114.0,121.9,94.6,256.3,147.8,52.0,25.3,12.2
1993,Jan,Jan-93,102.5,113.0,121.9,94.2,259.8,155.7,53.5,24.2,12.4
1993,Feb,Feb-93,102.5,112.5,121.5,94.4,254.3,148.9,53.3,24.8,13.7
1993,Mar,Mar-93,86.2,112.5,111.0,97.1,230.2,147.9,54.1,25.7,13.6
1993,Apr,Apr-93,81.0,112.5,109.6,100.6,206.3,142.0,53.8,25.9,12.8
1993,May,May-93,81.0,112.5,107.5,98.6,184.8,136.6,53.0,25.4,13.6
1993,Jun,Jun-93,81.0,112.5,105.5,92.8,189.0,121.8,51.3,24.4,12.5
1993,Jul,Jul-93,81.0,112.5,105.1,101.3,200.8,127.5,54.1,23.2,11.5
1993,Aug,Aug-93,81.0,112.5,107.5,100.3,209.0,129.8,53.5,23.7,11.9
1993,Sep,Sep-93,81.0,112.5,107.5,100.9,206.0,131.3,53.5,23.0,12.9
1993,Oct,Oct-93,81.0,112.5,111.3,106.5,256.8,136.0,54.1,23.4,11.9
1993,Nov,Nov-93,82.8,112.5,112.5,116.7,307.8,146.5,56.7,22.3,14.1
1993,Dec,Dec-93,85.5,112.5,122.5,121.8,320.5,158.7,58.6,20.8,11.4
1994,Jan,Jan-94,85.5,112.5,125.0,127.2,356.0,153.2,59.9,21.1,11.3
1994,Feb,Feb-94,85.5,112.5,125.6,123.2,343.8,147.0,59.7,21.2,13.6
1994,Mar,Mar-94,98.6,112.5,127.5,119.4,269.8,141.0,58.4,20.3,15.2
1994,Apr,Apr-94,103.5,112.5,130.0,113.2,269.3,140.5,57.2,21.6,16.5
1994,May,May-94,103.5,112.5,132.5,109.6,233.0,140.2,56.6,22.8,13.9
1994,Jun,Jun-94,103.5,112.5,132.5,112.2,213.8,139.3,56.3,23.9,13.4
1994,Jul,Jul-94,106.5,112.5,132.5,97.8,226.3,137.6,55.6,24.7,12.5
1994,Aug,Aug-94,88.0,112.5,132.5,96.0,252.6,146.0,57.1,23.4,11.9
1994,Sep,Sep-94,88.0,112.5,132.5,97.5,259.8,158.8,59.0,22.4,13.2
1994,Oct,Oct-94,88.0,112.5,136.6,96.5,262.0,167.2,57.6,22.7,15.3
1994,Nov,Nov-94,88.0,112.5,139.0,95.5,264.5,162.0,59.2,23.5,16.4
1994,Dec,Dec-94,88.0,112.5,139.0,102.5,260.5,164.6,61.2,22.6,14.2
1995,Jan,Jan-95,159.6,112.5,142.4,107.0,276.8,156.2,59.9,23.4,12.3
1995,Feb,Feb-95,177.5,112.5,147.5,106.7,280.5,154.4,61.2,24.1,11.5
1995,Mar,Mar-95,191.3,112.5,147.5,109.7,286.3,150.4,60.6,24.0,12.2
1995,Apr,Apr-95,205.0,112.5,147.5,109.3,281.5,149.0,59.4,25.5,12.4
1995,May,May-95,159.0,112.5,147.5,112.0,291.0,158.6,59.6,25.3,12.3
1995,Jun,Jun-95,90.0,112.5,147.5,119.9,326.0,170.0,61.8,24.3,11.9
1995,Jul,Jul-95,90.0,112.5,147.5,127.0,345.6,190.1,65.3,22.7,12.5
1995,Aug,Aug-95,90.0,112.5,147.5,126.4,339.5,184.4,63.8,23.3,12.8
1995,Sep,Sep-95,90.0,112.5,147.5,130.5,359.8,193.7,64.4,23.7,12.1
1995,Oct,Oct-95,90.0,112.5,150.0,140.9,382.6,203.8,66.3,23.2,14.4
1995,Nov,Nov-95,90.0,112.5,160.7,144.0,340.5,204.1,66.7,24.1,12.5
1995,Dec,Dec-95,90.0,112.5,162.5,148.7,341.5,208.9,67.0,26.2,11.8
1996,Jan,Jan-96,90.0,112.5,162.5,156.1,369.2,196.4,67.4,26.4,13.5
1996,Feb,Feb-96,90.0,112.5,169.1,164.8,368.0,206.2,68.7,28.2,15.0
1996,Mar,Mar-96,90.0,112.5,173.5,184.9,359.5,205.3,68.7,28.1,17.8
1996,Apr,Apr-96,160.4,112.5,173.5,190.4,327.2,239.5,72.2,28.7,16.6
1996,May,May-96,169.5,112.5,173.5,204.0,332.3,248.6,73.1,26.8,16.2
1996,Jun,Jun-96,172.1,112.5,174.6,197.6,341.5,215.2,71.0,26.6,16.4
1996,Jul,Jul-96,184.5,112.5,175.6,197.8,358.0,196.4,70.0,27.7,18.0
1996,Aug,Aug-96,187.0,112.5,178.6,185.5,335.5,181.5,69.0,28.0,15.8
1996,Sep,Sep-96,181.4,112.5,181.5,145.4,328.4,171.0,66.5,29.7,16.6
1996,Oct,Oct-96,172.3,112.5,182.5,127.9,312.8,169.6,63.1,31.9,16.4
1996,Nov,Nov-96,172.6,112.5,182.5,117.7,315.0,169.3,62.8,31.4,16.0
1996,Dec,Dec-96,174.5,112.5,182.5,117.7,319.2,167.8,63.2,33.8,19.3
1997,Jan,Jan-97,173.5,112.5,181.9,118.4,356.0,167.8,65.4,32.6,19.5
1997,Feb,Feb-97,160.4,112.5,181.0,121.7,347.0,164.2,66.3,28.2,20.1
1997,Mar,Mar-97,148.0,112.5,181.0,127.6,323.4,167.7,67.5,26.5,20.2
1997,Apr,Apr-97,135.0,112.5,177.6,124.4,304.5,175.6,66.5,25.2,19.7
1997,May,May-97,113.1,112.5,170.0,118.8,324.5,168.4,63.7,27.0,19.9
1997,Jun,Jun-97,108.5,112.5,170.0,112.1,323.2,141.2,61.3,25.4,20.2
1997,Jul,Jul-97,112.5,112.5,168.2,106.1,320.0,130.4,60.0,25.8,20.5
1997,Aug,Aug-97,102.5,112.5,163.5,112.9,285.0,139.4,60.0,26.6,23.1
1997,Sep,Sep-97,88.3,112.5,163.5,112.2,270.6,138.2,60.3,27.1,23.8
1997,Oct,Oct-97,87.5,112.5,164.3,120.4,265.8,136.2,60.6,28.8,23.9
1997,Nov,Nov-97,90.6,112.5,169.4,117.2,252.5,135.4,61.6,27.6,32.2
